phva_plandetrabajo;numeral_plandetrabajo;actividad_plandetrabajo;CLIENTE AÑO 1;CLIENTE AÑO 2;CLIENTE AÑO 3;MENSUAL;BIMENSUAL;TRIMESTRAL;PROYECTO;RESPONSABLE
HACER;5.1.2;Asesorar y preparar la ejecución del simulacro de emergencias;x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;5.1.2;Evaluar la ejecución del simulacro de emergencias;x;x;x;x;x;x;;CONSULTOR CYCLOID
PLANEAR;1.1.2;Asignar y documentar responsabilidades del SG-SST a todos los niveles de la copropiedad;x;x;x;x;x;x;x;CONSULTOR CYCLOID
PLANEAR;2.10.1;Realizar auditoría SG-SST al contratista de aseo;x;x;x;x;x;x;;CONSULTOR CYCLOID
PLANEAR;2.10.1;Realizar auditoría SG-SST al contratista de vigilancia;x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;3.2.1;Realizar el autorreporte de Estándares Mínimos del SG-SST;x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;1.2.1;Revisar el estado y la capacitación de los brigadistas;x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;1.2.1;Diligenciar hoja de vida de los brigadistas;x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;3.1.8;Registrar el lavado de tanques con soporte correspondiente (Periodo 1);x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;3.1.8;Registrar el lavado de tanques con soporte correspondiente (Periodo 2);x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;3.1.8;Registrar la fumigación con soporte correspondiente (Periodo 1);x;x;x;x;x;x;;CONSULTOR CYCLOID
HACER;3.1.8;Registrar la fumigación con soporte correspondiente (Periodo 2);x;x;x;x;x;x;;CONSULTOR CYCLOID
PLANEAR;1.1.3;Elaborar el presupuesto e inversiones en SST para el año;x;x;x;x;x;x;;CONSULTOR CYCLOID
PLANEAR;2.2.1;Definir los objetivos del Sistema de Gestión de SST conforme a la política y normatividad vigente;x;x;x;x;x;x;x;CONSULTOR CYCLOID
